type,id,ntags,tagkey,tagvalue
node,316170774,0,,
node,316170775,0,,
node,316170776,0,,
node,316170777,0,,
node,316170778,0,,
node,316170787,0,,
node,316170788,0,,
node,316170789,0,,
node,316170790,0,,
node,321697928,0,,
node,321697929,0,,
node,321697930,0,,
node,321697931,0,,
node,321697933,0,,
node,321697937,0,,
node,321697938,0,,
node,321697939,0,,
node,321698007,0,,
node,321698212,0,,
node,321698213,0,,
node,321698214,0,,
node,321698215,0,,
node,321698216,0,,
node,321698217,0,,
node,321698218,0,,
node,321698219,0,,
node,321698220,0,,
node,321698221,0,,
node,321698222,0,,
node,321698227,0,,
node,321698260,0,,
node,321698261,0,,
node,321698262,0,,
node,321698406,0,,
node,321698407,0,,
node,321698515,0,,
node,321698516,0,,
node,321698517,0,,
node,321698518,0,,
node,321698519,0,,
node,321698520,0,,
node,321698521,0,,
node,321698522,0,,
node,321698523,0,,
node,321698524,0,,
node,321698525,0,,
node,321698526,0,,
node,321698527,0,,
node,321698528,0,,
node,321698529,0,,
node,321698530,0,,
node,321698735,0,,
node,321698736,0,,
node,321698737,0,,
node,321698738,0,,
node,321698739,0,,
node,321698740,0,,
node,321698741,0,,
node,321698742,0,,
node,321698743,0,,
node,321698744,0,,
node,321698745,0,,
node,321698746,0,,
node,321698747,0,,
node,321698748,0,,
node,321698749,0,,
node,321698750,0,,
node,321698751,0,,
node,321698973,0,,
node,321698977,0,,
node,321698978,0,,
node,321698979,0,,
node,321698980,0,,
node,321698982,0,,
node,321698987,0,,
node,321698988,0,,
node,321698990,0,,
node,321698991,0,,
node,321698992,0,,
node,321698994,0,,
node,321698995,0,,
node,321698996,0,,
node,321698999,0,,
node,321699095,0,,
node,321699096,0,,
node,321699097,0,,
node,321699098,0,,
node,321699458,0,,
node,321699469,0,,
node,321699528,0,,
node,321699529,0,,
node,321699662,0,,
node,321699663,0,,
node,321699664,0,,
node,321699732,0,,
node,321699733,0,,
node,321699734,0,,
node,321699735,0,,
node,321699736,0,,
node,321699737,0,,
node,321699739,0,,
node,321699807,0,,
node,321699819,0,,
node,321699820,0,,
node,321699821,0,,
node,321699822,0,,
node,321699823,0,,
node,321699824,0,,
node,321699838,0,,
