type,id,ntags,tagkey,tagvalue,nodes
way,572412474,1,['highway'],['service'],"[5499282665,5499282662,5499282664,5499282663]"
way,572418970,2,"['highway', 'name']","['residential', 'Aglipay']","[30763242,30763164,5499364253,30763175]"
way,572418971,1,['highway'],['residential'],"[5499338452,5499338453]"
way,572428079,2,"['highway', 'service']","['service', 'parking_aisle']","[1802319225,3665596400,3665596407,3665596408]"
way,572428081,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[5499427366,5499427368,1821023234,1802316410]"
way,572428082,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[5499427365,5499427364,5499427363,5499427366]"
way,572428090,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[1821023247,508423949,508423931]"
way,572428091,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[5499427395,5499427392,1802317738]"
way,572428092,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[5499427393,1821023239]"
way,572428093,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[5499427395,5499427394,5499427393]"
way,572428094,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[508423931,5499427400,5499427399,5499427398,5499427397,5499427396,5499427395]"
way,572428096,3,"['access', 'highway', 'postal_code']","['private', 'service', '1107']","[508423931,1821023239,5499427353,5499427367]"
way,572430321,3,"['access', 'highway', 'source']","['private', 'service', 'Bing']","[5499455645,5499455644]"
way,572432620,1,['highway'],['service'],"[5499473653,5499473651]"
way,572432621,1,['highway'],['service'],"[5499473655,5499473650,5499473654,5499473653,5499473652]"
way,584331786,1,['highway'],['path'],"[5585622045,5585622042,5585622041]"
way,584331787,1,['highway'],['path'],"[5585622045,5585622044,5585622043]"
way,584331788,1,['highway'],['path'],"[5585622047,5585622046,5585622045]"
way,584331789,1,['highway'],['service'],"[5585622052,5585622051,5585622050,5585622049]"
way,585294582,4,"['hgv:conditional', 'highway', 'name', 'oneway']","['no @ Mo-Su 04:00-17:00', 'secondary', 'Central Avenue', 'yes']","[1802319218,5499282650,5499282646,5499282649,5499282647,4014395574]"
way,585294583,6,"['bus', 'hgv', 'highway', 'lanes', 'motorcar', 'oneway']","['designated', 'no', 'service', '1', 'no', 'yes']","[5593633283,5593633282,5593633284,1802321418,5593633285,5593633281,5593633286]"
way,589080682,10,"['foot', 'highway', 'lanes', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking', 'turn:lanes']","['no', 'tertiary', '4', 'University Avenue', 'yes', '1101', '175', 'separate', 'no', 'left|||']","[4412520608,5625398292]"
way,589080683,11,"['change:lanes', 'foot', 'highway', 'lanes', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking', 'turn:lanes']","['no|no|no|no', 'no', 'tertiary', '4', 'University Avenue', 'yes', '1101', '175', 'separate', 'no', 'left|||']","[5625398292,24265131]"
way,603214900,2,['highway'],['service'],"[5727232952,5398148267]"
way,608182116,1,['highway'],['service'],"[1116500555,5762674503,5762674501,5320408633]"
way,608182117,1,['highway'],['service'],"[5762674501,5762674502]"
way,608671229,2,['highway'],['service'],"[5766134842,5320269921]"
way,608671230,2,['highway'],['service'],"[5766134843,5766134838]"
way,608671234,2,"['highway', 'source']","['service', 'DigiGlobe']","[249248911,5766134844,5766134843,5766134842,5766134837,5766134836,5766134835]"
way,615743521,7,"['access', 'hoops', 'leisure', 'lit', 'name', 'sport', 'surface']","['yes', '2', 'pitch', 'yes', 'Pook Ricarte Open Air Basketball Court', 'basketball', 'asphalt']","[5822210624,5822210625,5822210626,5822210627,5822210624]"
way,616937686,3,"['highway', 'name', 'oneway']","['secondary', 'Carlos P. Garcia', 'yes']","[5832233084,5464860635,30763224]"
way,617654357,2,"['highway', 'name']","['service', 'Velasquez']","[30763114,4903638313,4412524977,30763212,4742764999,4412522711,30763213,321699983,321698987,3981680976,321699980,5464286876,321698988,30763214,433035341,321699662,3981680975,321699739,5464286832,321699664,675499826,675499832,3981680974,321698990,3981680973,1954602845,967511470,30763215]"
way,617654358,2,"['highway', 'oneway']","['unclassified', 'yes']","[765257057,5464155025,1235577932,433035146,433035156,433035161,433035174,433035183]"
way,617654359,3,"['highway', 'name', 'postal_code']","['unclassified', 'Emilio Jacinto', '1101']","[17216442,29025708]"
way,617654360,9,"['foot', 'highway', 'lanes', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking']","['no', 'tertiary', '3', 'University Avenue', 'yes', '1101', '175', 'separate', 'no']","[17216442,1208264625,2672529819,4412520607,1422682200,4412520608]"
way,617654361,10,"['bus:lanes', 'cycleway:lane', 'cycleway:left', 'highway', 'lanes', 'lcn', 'maxspeed', 'name', 'oneway', 'sidewalk']","['no|yes|designated', 'advisory', 'lane', 'tertiary', '2', 'yes', '50', 'M. Roxas Avenue', 'yes', 'both']","[321704522,5446868291,5446799149,5446799145,5446799146,29024778,273729980,4427432497,5449447869,5449447868,321697928,2212489548,29025095]"
way,617654362,10,"['bus:lanes', 'cycleway:lane', 'cycleway:left', 'highway', 'lanes', 'lcn', 'maxspeed', 'name', 'oneway', 'sidewalk']","['no|yes|designated', 'advisory', 'lane', 'tertiary', '2', 'yes', '50', 'M. Roxas Avenue', 'yes', 'both']","[4988311112,321704517,5446799144,5449409834,321704522]"
way,617654363,3,"['access', 'highway', 'name']","['yes', 'unclassified', 'A. Ma. Regidor']","[5452582524,5452582531,5452582533,5452582526,5452582527,2454115544,29025065]"
way,629319399,1,['highway'],['service'],"[5941602349,5941602355]"
way,629319400,1,['highway'],['service'],"[5941602356,5941602355,5941602354,5941602350,5941602353,5941602352,5941602351,5464286858]"
way,629319407,3,"['access', 'highway', 'name']","['private', 'unclassified', 'Pardo de Tavera']","[4903638224,4903638226,5941602367]"
way,629319408,4,"['covered', 'highway', 'oneway', 'service']","['yes', 'service', 'yes', 'drive-through']","[4903638231,5941602365,5464959661]"
way,629319409,2,"['highway', 'surface']","['service', 'ground']","[5941602367,5941602366,5465158283]"
way,629321710,2,"['highway', 'service']","['service', 'parking_aisle']","[675446696,5449354281,5446790520]"
way,629321711,2,"['highway', 'service']","['service', 'parking_aisle']","[5446837610,321703689]"
way,629323117,9,"['foot', 'highway', 'lanes', 'name', 'oneway', 'postal_code', 'ref', 'sidewalk', 'smoking']","['no', 'tertiary', '3', 'University Avenue', 'yes', '1101', '175', 'separate', 'no']","[29025708,4412520593]"
way,629323119,2,"['highway', 'name']","['tertiary_link', 'U-turn']","[5941632467,5941632466,5941632465,5941632464,5941632463,5941632462,2672529818,5941632461,5941632460,5941632459,5941632458,4412520607]"
way,639876351,2,"['highway', 'name']","['residential', 'Malambing']","[1316925116,249248797,249247444,1316921528,1316921522,1316921494,249248770]"
way,644310586,2,"['highway', 'service']","['service', 'driveway']","[6060058798,6060058800,6060058799]"
way,644310587,2,"['highway', 'service']","['service', 'driveway']","[6060058801,6060058802,6060058803]"
way,653618788,1,['highway'],['service'],"[1422883751,6125393006,6125393007]"
way,653618789,1,['highway'],['service'],"[6125393008,6125393009,6125393010,6125393011,6125393012,6125393013,6125393008]"
way,657268860,5,"['highway', 'lanes', 'lanes:backward', 'lanes:forward', 'name']","['secondary', '4', '2', '2', 'Carlos P. Garcia Avenue']","[284135272,321699458]"
way,657821420,1,['highway'],['service'],"[6160865058,6160865057]"
way,669286590,7,"['highway', 'lanes', 'lanes:backward', 'lanes:forward', 'level', 'name', 'surface']","['secondary', '4', '2', '2', '10', 'Carlos P. Garcia Avenue', 'concrete']","[3243901162,30763493,1422668949,30763494,4903638223,6505184735,606282227,6505184736,306542747,4903638224,22352629,5464974895,306542748,26504563,306542785,967510726,306542784,22352654]"
way,669286591,7,"['highway', 'lanes', 'lanes:backward', 'lanes:forward', 'level', 'name', 'surface']","['secondary', '4', '2', '2', '10', 'Carlos P. Garcia Avenue', 'concrete']","[2517360522,5464354427,5464354428,5464354429,215001054,22352578,30763515,321702379,22352604,321702367,30763178,321702365]"
way,669286592,7,"['highway', 'lanes', 'lanes:backward', 'lanes:forward', 'level', 'name', 'surface']","['secondary', '4', '2', '2', '10', 'Carlos P. Garcia Avenue', 'concrete']","[22352654,6463657599,306542786,6463657601,1422668947,606282224,30763215,4412524974,6463657600,22352680,306542746,2074398219,306542745,3078100919,3078100931,3078073960,672608900,321699807,321699975,306542744,306542743,1422668052,4412524973,5464821480,306542742,22352736,1422668053,284135272]"
way,669286593,7,"['highway', 'lanes', 'lanes:backward', 'lanes:forward', 'level', 'name', 'surface']","['secondary', '4', '2', '2', '10', 'Carlos P. Garcia Avenue', 'concrete']","[321702365,3243901162]"
way,670619381,3,"['highway', 'name', 'parking:lane']","['unclassified', 'Magsaysay Avenue', 'no_parking']","[30763155,6160865058,5585622047,259135466]"
way,670619382,3,"['highway', 'name', 'parking:lane']","['unclassified', 'Magsaysay Avenue', 'no_parking']","[30763118,2947141869,2947206139,321702565,30763151,321701207,321701208,30763145,4412522707,30763158,5352041674,5352041673,6125393008,214998774,321701236,30763155]"
