type,id,ntags,tagkey,tagvalue,lat,lon
node,30763508,0,,,14.6427592,121.063873
node,30763510,0,,,14.6433613,121.0646857
node,30763511,0,,,14.6431723,121.0650403
node,30763513,0,,,14.6419925,121.0628116
node,30763515,0,,,14.6473505,121.0623517
node,30763516,0,,,14.6468579,121.0620769
node,30763517,0,,,14.6469086,121.0626676
node,30763518,0,,,14.6472964,121.0637766
node,30763519,0,,,14.645144,121.0639839
node,30763520,0,,,14.6457264,121.0640019
node,30763521,0,,,14.6444037,121.0640612
node,30763536,0,,,14.644343,121.0634086
node,30764650,0,,,14.6605892,121.0685292
node,30764651,0,,,14.6514517,121.0668154
node,30764652,0,,,14.6511465,121.0667775
node,30764668,0,,,14.6500935,121.0670897
node,30891988,0,,,14.6491345,121.0483116
node,30891989,0,,,14.6486281,121.0505196
node,30891991,0,,,14.6503103,121.0470487
node,31864659,0,,,14.6509343,121.0479637
node,31864660,0,,,14.6509467,121.048418
node,31864661,0,,,14.650537,121.0482266
node,32476225,0,,,14.6464465,121.0590523
node,32476244,0,,,14.6496154,121.0568362
node,32476245,0,,,14.6466622,121.0583992
node,32476246,0,,,14.6480295,121.0533004
node,32476255,0,,,14.6475444,121.054976
node,32476267,0,,,14.6468115,121.0533172
node,32476293,0,,,14.6459848,121.0545906
node,32476298,0,,,14.6490828,121.0585423
node,32476305,0,,,14.6480093,121.0546613
node,32476308,0,,,14.6489073,121.0546052
node,32476311,0,,,14.6468367,121.0572805
node,32476319,0,,,14.643637,121.0541
node,32476320,0,,,14.6510092,121.0549866
node,32476327,0,,,14.6468743,121.0599612
node,32476328,0,,,14.6462771,121.0536439
node,32476329,0,,,14.6516502,121.0550519
node,32476331,0,,,14.6511103,121.0564291
node,32476335,3,"['crossing', 'highway', 'supervised']","['uncontrolled', 'crossing', 'no']",14.6515313,121.0558415
node,32476347,0,,,14.6472454,121.0544829
node,32476364,0,,,14.6492571,121.056233
node,32476365,0,,,14.652761,121.0531625
node,32476366,0,,,14.6489898,121.0583597
node,32476367,0,,,14.6480794,121.0560096
node,32476371,0,,,14.6488994,121.0538418
node,32476388,0,,,14.6463773,121.0572555
node,32476389,0,,,14.6472602,121.057501
node,32476396,0,,,14.6516177,121.0535263
node,32476398,0,,,14.647606,121.0572541
